country,founded,id,industry,linkedin_url,locality,name,region,size,website,country_iso2
colombia,0,parceros-games,computer games,linkedin.com/company/parceros-games,medellin,parceros games,antioquia,1-10,parcerosgames.com,CO
paraguay,0,rootstudiogames,computer games,linkedin.com/company/rootstudiogames,asuncion,root studio,central,1-10,rootstudio.itch.io,PY
united states,0,randomwhalegames,computer games,linkedin.com/company/randomwhalegames,newark,random whale games,new jersey,1-10,randomwhale.com,US
,0,wethegamerz,computer games,linkedin.com/company/wethegamerz,,wethegamerz,,1-10,wethegamerz.com,
united states,0,orion-studios-inc,computer games,linkedin.com/company/orion-studios-inc,baltimore,orion studios inc,maryland,1-10,orionsound.com,US
turkey,0,metaversewar-game,computer games,linkedin.com/company/metaversewar-game,,metaversewar game,istanbul,1-10,metaversewar.game,TR
,0,lehit-studios,computer games,linkedin.com/company/lehit-studios,,lehit studio,,1-10,,
turkey,0,shift-o-games,computer games,linkedin.com/company/shift-o-games,,shift-o games,konya,1-10,,TR
,0,yuppy-games,computer games,linkedin.com/company/yuppy-games,,yuppy games,,1-10,yuppygames.com,
,0,nordinvasion,computer games,linkedin.com/company/nordinvasion,,nordinvasion,,11-50,nordinvasion.com,
,0,playjokns,computer games,linkedin.com/company/playjokns,,playjokns,,1-10,youtube.com/channel/uc1l2fkoa3ify2anyyqke7ew,
,0,mythral-games,computer games,linkedin.com/company/mythral-games,,mythral games,,1-10,twitter.com/mithrilgames,
,0,lifeboat-network,computer games,linkedin.com/company/lifeboat-network,,lifeboat network,,11-50,lbsg.net,
singapore,0,meta-us,computer games,linkedin.com/company/meta-us,paya lebar,meta.us,,1-10,meta.us,SG
finland,0,bugbear-entertainment-ltd,computer games,linkedin.com/company/bugbear-entertainment-ltd,,bugbear entertainment ltd,,11-50,bugbear.fi,FI
,0,gamepayments,computer games,linkedin.com/company/gamepayments,,gamepayments,,1-10,gamepayments.net,
serbia,0,afternoon-games,computer games,linkedin.com/company/afternoon-games,belgrade,afternoon games,central serbia,1-10,afternoongames.com,RS
,0,howmanystars,computer games,linkedin.com/company/howmanystars,,howmanystars?,,1-10,howmanystars.net,
indonesia,0,vatra-esports,computer games,linkedin.com/company/vatra-esports,bandung,vatra esports,jawa barat,1-10,instagram.com/vatra.gg,ID
turkey,0,fff-aracde,computer games,linkedin.com/company/fff-aracde,istanbul,fff-arcade,istanbul,1-10,fff-arcade.com,TR
united states,0,bloxsmith,computer games,linkedin.com/company/bloxsmith,,bloxsmith,,1-10,bloxsmith.com,US
czechia,0,nejcraft,computer games,linkedin.com/company/nejcraft,plzen,nejcraft,plzensky kraj,1-10,nejcraft.cz,CZ
,0,spicy-loop,computer games,linkedin.com/company/spicy-loop,,spicy loop,,1-10,,
finland,0,latchback-games,computer games,linkedin.com/company/latchback-games,lahti,latchback games,päijänne tavastia,1-10,latchbackgames.com,FI
,0,gameutha,computer games,linkedin.com/company/gameutha,,gameutha.com,,11-50,gameutha.com,
united states,0,pyramid-lake-games,computer games,linkedin.com/company/pyramid-lake-games,lake mills,pyramid lake games,wisconsin,1-10,pyramidlakegames.com,US
united states,0,the-gaming-space,computer games,linkedin.com/company/the-gaming-space,pittsburgh,the gaming space,pennsylvania,1-10,,US
sweden,0,gameshop,computer games,linkedin.com/company/gameshop,,gameshop,,11-50,gameshop.se,SE
,0,scavenged-shores,computer games,linkedin.com/company/scavenged-shores,,scavenged shores,,1-10,scavengedshores.com,
,0,innji-lassi-interactive,computer games,linkedin.com/company/innji-lassi-interactive,,innji lassi interactive,,1-10,,
turkey,0,rise-studioss,computer games,linkedin.com/company/rise-studioss,,rise studios,istanbul,1-10,instagram.com/risegamestudio,TR
france,0,wetennix,computer games,linkedin.com/company/wetennix,saint-brieuc,wetennix,brittany,1-10,wetennix.com,FR
united states,0,glumobileindia,computer games,linkedin.com/company/glumobileindia,san francisco,glu mobile india,california,501-1000,,US
united states,0,tezcatek,computer games,linkedin.com/company/tezcatek,dallas,tezcatek,texas,1-10,carpathiannight.com,US
united states,0,apple-the-grove,computer games,linkedin.com/company/apple-the-grove,los angeles,apple the grove,california,51-200,miiduu.com,US
canada,0,wero-creative,computer games,linkedin.com/company/wero-creative,toronto,wero creative,ontario,1-10,werocreative.com,CA
united kingdom,0,player-one,computer games,linkedin.com/company/player-one,,player one,,11-50,,GB
,0,广州灵境软件科技有限公司,computer games,linkedin.com/company/广州灵境软件科技有限公司,,广州灵境软件科技有限公司,,51-200,xtb.xunlei.com,
sweden,0,ludosity-interactive,computer games,linkedin.com/company/ludosity-interactive,,ludosity interactive,,1-10,ludosity.com,SE
,0,sim-racing-community,computer games,linkedin.com/company/sim-racing-community,,sim racing community,,1-10,,
turkey,0,di̇og,computer games,linkedin.com/company/di̇og,,dodecahedron oyun geliştirici topluluğu,balıkesir,1-10,,TR
,0,joybeat-games,computer games,linkedin.com/company/joybeat-games,,joybeat games,,1-10,joybeatgames.com,
germany,0,flow-fire-games,computer games,linkedin.com/company/flow-fire-games,,flow fire games,berlin,11-50,flowfiregames.com,DE
,0,forgeborne-games,computer games,linkedin.com/company/forgeborne-games,,forgeborne games,,1-10,forgebornegames.com,
taiwan,0,simboltd.,computer games,linkedin.com/company/simboltd.,taichung,新博軟體開發 simbo ltd.,t'ai-wan,51-200,simbo.com.tw,TW
brazil,0,tokenlândia-cards,computer games,linkedin.com/company/tokenlândia-cards,,tokenlândia cards,,1-10,tokenlandiacards.com.br,BR
,0,psychicparrot-games,computer games,linkedin.com/company/psychicparrot-games,,psychicparrot games,,10001+,,
,0,steel-monkeys,computer games,linkedin.com/company/steel-monkeys,,steel monkeys,,11-50,slam-games.com,
,0,kedamaworks,computer games,linkedin.com/company/kedamaworks,,株式会社けだまワークス,,1-10,kedamaworks.com,
australia,0,reuben-games,computer games,linkedin.com/company/reuben-games,melbourne,reuben games,victoria,1-10,deadstaticdrive.com,AU
spain,0,boreal-mist-studio,computer games,linkedin.com/company/boreal-mist-studio,madrid,boreal mist studio,madrid,1-10,apaxthegame.com,ES
,0,irate-games-llc,computer games,linkedin.com/company/irate-games-llc,,irate games llc,,1-10,irate-games.com,
united states,0,avalanche-software,computer games,linkedin.com/company/avalanche-software,,avalanche software,,51-200,,US
denmark,0,progressive-media,computer games,linkedin.com/company/progressive-media,aalborg,progressive media,nordjylland,11-50,progressivemedia.dk,DK
india,0,pixline-interactive-pvt-ltd,computer games,linkedin.com/company/pixline-interactive-pvt-ltd,,pixline interactive pvt ltd,,51-200,pixlineinteractive.com,IN
israel,0,the-gamedev-drinkup-israel,computer games,linkedin.com/company/the-gamedev-drinkup-israel,,the gamedev drinkup israel,haifa,1-10,,IL
united states,0,azra-games,computer games,linkedin.com/company/azra-games,sacramento,azra games,california,11-50,azragames.com,US
united kingdom,0,dreadnought-studios-ltd,computer games,linkedin.com/company/dreadnought-studios-ltd,hadleigh,dreadnought studios ltd,essex,1-10,dreadnought-studios.com,GB
canada,0,floppy-goat-inc,computer games,linkedin.com/company/floppy-goat-inc,montreal,floppy goat inc.,quebec,1-10,floppygoat.com,CA
united kingdom,0,propulsion-games,computer games,linkedin.com/company/propulsion-games,,propulsion games,southampton,1-10,propulsiongames.com,GB
australia,0,junklab-games,computer games,linkedin.com/company/junklab-games,,junklab games,,1-10,junklabgames.com,AU
united states,0,games-spot,computer games,linkedin.com/company/games-spot,glen burnie,games spot,maryland,1-10,,US
japan,0,nanaon-sha,computer games,linkedin.com/company/nanaon-sha,,nanaon-sha,,1-10,nanaon-sha.co.jp,JP
united kingdom,0,pinecroft-associates-limited,computer games,linkedin.com/company/pinecroft-associates-limited,ashorne,pinecroft associates limited,warwickshire,1-10,pinecroftassociates.co.uk,GB
germany,0,regensturm,computer games,linkedin.com/company/regensturm,fellbach,regensturm,baden-wurttemberg,1-10,regensturm.com,DE
,0,eteros-studio,computer games,linkedin.com/company/eteros-studio,,eteros studios,,1-10,,
,0,apex-legends-coins-generator-2019-online-working,computer games,linkedin.com/company/apex-legends-coins-generator-2019-online-working,,apex legends coins generator 2019 online working,,1-10,,
,0,picostudios,computer games,linkedin.com/company/picostudios,,pico studios,,201-500,picostudios.com,
,0,odyssey-and-redcrow-3d-art,computer games,linkedin.com/company/odyssey-and-redcrow-3d-art,,odyssey and redcrow 3d art,,1-10,artstation.com/or3dart,
,0,massive-crystal,computer games,linkedin.com/company/massive-crystal,,massive crystal,,11-50,massivecrystal.com,
,0,nigmagg,computer games,linkedin.com/company/nigmagg,,team nigma,,1-10,teamnigma.com,
poland,0,everlonggames,computer games,linkedin.com/company/everlonggames,warsaw,everlonggames,mazovia,1-10,,PL
,0,keys4coins,computer games,linkedin.com/company/keys4coins,,keys4coins,,1-10,keys4coins.com,
,0,the-erebus-onyx,computer games,linkedin.com/company/the-erebus-onyx,,the erebus onyx,,1-10,erebusonyx.com,
italy,0,sisal-match-point-spa,computer games,linkedin.com/company/sisal-match-point-spa,roma,sisal match point spa,veneto,1-10,,IT
,0,united-fundraising-league-int,computer games,linkedin.com/company/united-fundraising-league-int,,united fundraising league int,,11-50,,
,0,badgers-game-studio,computer games,linkedin.com/company/badgers-game-studio,,badgers game studio,,1-10,,
,0,greeat-games,computer games,linkedin.com/company/greeat-games,,greeat games,,1-10,greeatgames.com,
germany,0,arktentrion,computer games,linkedin.com/company/arktentrion,köln,arktentrion,north rhine-westphalia,1-10,artjomriewe.com,DE
south korea,0,action-square,computer games,linkedin.com/company/action-square,,action square,seoul,51-200,,KR
china,0,star-painters-digital-art-co.-ltd.,computer games,linkedin.com/company/star-painters-digital-art-co.-ltd.,,"star painters digital art co., ltd.",,11-50,starpainters.cn,CN
united kingdom,0,universal-games-distribution-uk-ltd,computer games,linkedin.com/company/universal-games-distribution-uk-ltd,,universal games distribution (uk) ltd,,1-10,unigames.co.uk,GB
united states,0,jim-jones,computer games,linkedin.com/company/jim-jones,escalon,jim jones,california,1-10,,US
united states,0,flash-to-go,computer games,linkedin.com/company/flash-to-go,lawndale,flash to go,california,1-10,,US
estonia,0,clickwork-games,computer games,linkedin.com/company/clickwork-games,,clickwork games,,1-10,clickworkgames.com,EE
united states,0,anarchy-road-software,computer games,linkedin.com/company/anarchy-road-software,woodinville,anarchy road software,washington,1-10,,US
turkey,0,splitshiver,computer games,linkedin.com/company/splitshiver,,splitshiver,istanbul,1-10,splitshiver.com,TR
,0,linc-games,computer games,linkedin.com/company/linc-games,,l.inc,,1-10,linc.games,
,0,gaming-sauce,computer games,linkedin.com/company/gaming-sauce,,gaming sauce,,1-10,,
france,0,victoria-line,computer games,linkedin.com/company/victoria-line,,victoria line,,1-10,,FR
,0,raizoo,computer games,linkedin.com/company/raizoo,,raizoo,,1-10,raizoo.com,
,0,szx,computer games,linkedin.com/company/szx,,station zero x,,1-10,station0x.com,
united kingdom,0,prismutivestudios,computer games,linkedin.com/company/prismutivestudios,bath,prismutive studios,bath and north east somerset,1-10,,GB
united states,0,try-catch-games,computer games,linkedin.com/company/try-catch-games,,try catch games,minnesota,1-10,trycatchgames.com,US
croatia,0,kaleidosoft,computer games,linkedin.com/company/kaleidosoft,zagreb,kaleidosoft,grad zagreb,1-10,,HR
,0,clutch.interactive,computer games,linkedin.com/company/clutch.interactive,,clutch interactive,,1-10,clutchint.com,
,0,beat-the-book-studios,computer games,linkedin.com/company/beat-the-book-studios,,beat the book studios,,1-10,kingdomcatastrophes.com,
,0,algorat,computer games,linkedin.com/company/algorat,,algorat,,1-10,algorat.club,
united kingdom,0,chrysalis-games,computer games,linkedin.com/company/chrysalis-games,london,chrysalis games,england,11-50,chrysalis-games.com,GB
brazil,0,plinio-games,computer games,linkedin.com/company/plinio-games,,plinio games,,1-10,pliniogames.com.br,BR
netherlands,0,overload-gaming,computer games,linkedin.com/company/overload-gaming,,overload gaming,,1-10,overload-gaming.org,NL
,0,mouse-potato-games,computer games,linkedin.com/company/mouse-potato-games,,mouse potato games llc,,1-10,mousepotatogames.com,
spain,0,the-village-market,computer games,linkedin.com/company/the-village-market,,the village market,madrid,1-10,villagemarket-kenya.com,ES
germany,0,beta-mittweida,computer games,linkedin.com/company/beta-mittweida,mittweida,beta mittweida,sachsen,11-50,beta-mittweida.de,DE
switzerland,0,mncgames,computer games,linkedin.com/company/mncgames,,mac n cheese games,zurich,1-10,,CH
canada,0,scarlet-string,computer games,linkedin.com/company/scarlet-string,toronto,scarlet string studios,ontario,1-10,scarletstring.moe,CA
,0,dystopi,computer games,linkedin.com/company/dystopi,,dystopi,,11-50,dystopi.world,
australia,0,wetlands-golf-'n'​-games,computer games,linkedin.com/company/wetlands-golf-'n'​-games,wheelers hill,wetlands golf 'n'​ games,victoria,1-10,minigolf.com.au,AU
,0,bellyflop-golem,computer games,linkedin.com/company/bellyflop-golem,,bellyflop golem,,1-10,,
,0,gamelab-o-,computer games,linkedin.com/company/gamelab-o-,,gamelab oü,,1-10,,
,0,pixel-penguin-audio,computer games,linkedin.com/company/pixel-penguin-audio,,pixel penguin audio,,1-10,,
philippines,0,exodia-studio,computer games,linkedin.com/company/exodia-studio,,exodia studio,central visayas,1-10,exodia.ph,PH
united states,0,blind-harpy-studios,computer games,linkedin.com/company/blind-harpy-studios,new york,blind harpy studios,new york,1-10,blindharpystudios.com,US
,0,oxvgames,computer games,linkedin.com/company/oxvgames,,oxv games (voodoo),,1-10,,
united states,0,chess-club,computer games,linkedin.com/company/chess-club,,chess club,,1-10,chess-club.org,US
,0,funnypeacockgames,computer games,linkedin.com/company/funnypeacockgames,,funny peacock games ltd,,1-10,funnypeacockgames.com,
brazil,0,southern-dragon-studio,computer games,linkedin.com/company/southern-dragon-studio,florianópolis,southern dragon studio,santa catarina,1-10,instagram.com/sdstudio_official,BR
portugal,0,digitality-games,computer games,linkedin.com/company/digitality-games,fundao,digitality games,castelo branco,1-10,digitalitygames.com,PT
,0,phoenix-gaming-company,computer games,linkedin.com/company/phoenix-gaming-company,,gaming operations (go) company,,1-10,,
united arab emirates,0,ggg-games,computer games,linkedin.com/company/ggg-games,,ggg games,dubai,1-10,ggg-games.com,AE
france,0,farworld-studio,computer games,linkedin.com/company/farworld-studio,rennes,farworld studio,bretagne,1-10,farworld-studio.net,FR
,0,western-outdoor-interactive-woi-,computer games,linkedin.com/company/western-outdoor-interactive-woi-,,western outdoor interactive (woi),,1-10,wirencable.com,
,0,liminalgg,computer games,linkedin.com/company/liminalgg,,"liminal experiences, inc",,1-10,,
,0,singapore-esports-association,computer games,linkedin.com/company/singapore-esports-association,,singapore esports association (sgea),,1-10,facebook.com/sgesportsassociation,
italy,0,green-flamingo-soc-coop,computer games,linkedin.com/company/green-flamingo-soc-coop,bologna,green flamingo soc.coop.,emilia-romagna,1-10,greenflamingostudios.com,IT
france,0,stugno-games,computer games,linkedin.com/company/stugno-games,,stugno games,,1-10,gnobot.org,FR
united states,0,marbill-management,computer games,linkedin.com/company/marbill-management,san francisco,marbill management,california,1-10,,US
germany,0,leto-games,computer games,linkedin.com/company/leto-games,memmingen,leto games,bayern,1-10,,DE
india,0,fangame-live,computer games,linkedin.com/company/fangame-live,noida,fanplay technologies,uttar pradesh,11-50,,IN
united states,0,radar-group_2,computer games,linkedin.com/company/radar-group_2,scottsdale,radar group,arizona,1-10,radargroup.com,US
nigeria,0,gamepride-inc,computer games,linkedin.com/company/gamepride-inc,lekki,gamepride inc,lagos,1-10,gamepride.co,NG
united states,0,soka-game-design,computer games,linkedin.com/company/soka-game-design,mesa,soka games,arizona,1-10,,US
,0,figmentpet,computer games,linkedin.com/company/figmentpet,,figment,,1-10,figment.pet,
turkey,0,gang7z,computer games,linkedin.com/company/gang7z,,gang7z,,1-10,marcus7z.com,TR
,0,crabrevolution,computer games,linkedin.com/company/crabrevolution,,crab revolution,,1-10,,
,0,akita-interactive,computer games,linkedin.com/company/akita-interactive,,akita interactive,,11-50,akitainteractive.github.io,
serbia,0,packdev-interactive,computer games,linkedin.com/company/packdev-interactive,kragujevac,packdev interactive,vojvodina,1-10,,RS
czechia,0,gammakah-studios,computer games,linkedin.com/company/gammakah-studios,prague,gammakah,praha,1-10,gammakah.com,CZ
united states,0,sandlot-games-corporation,computer games,linkedin.com/company/sandlot-games-corporation,bothell,sandlot games corporation,washington,11-50,sandlotgames.com,US
oman,0,al-shaza-llc,computer games,linkedin.com/company/al-shaza-llc,,al shaza llc,,1-10,,OM
united states,0,goreham.com,computer games,linkedin.com/company/goreham.com,,goreham.com,indiana,1-10,goreham.com,US
united states,0,sqrl-studios-inc,computer games,linkedin.com/company/sqrl-studios-inc,indianapolis,sqrl studios inc.,indiana,1-10,sqrlstudios.com,US
australia,0,deltaball,computer games,linkedin.com/company/deltaball,melbourne,deltaball,victoria,1-10,deltaball.com,AU
spain,0,almond-std,computer games,linkedin.com/company/almond-std,alcalá de henares,almond studio,madrid,1-10,almondstd.com,ES
united kingdom,0,hawkeye-trading-limited,computer games,linkedin.com/company/hawkeye-trading-limited,baildon,hawkeye trading limited,bradford,1-10,,GB
norway,0,ifispillutvikling,computer games,linkedin.com/company/ifispillutvikling,,ifi spillutvikling,oslo,1-10,ifispillutvikling.no,NO
,0,eschamp,computer games,linkedin.com/company/eschamp,,eschamp,,1-10,eschamp.com,
,0,dimension-club-iiitn,computer games,linkedin.com/company/dimension-club-iiitn,,dimensions club iiitn,,1-10,,
united kingdom,0,thunderworks-limited,computer games,linkedin.com/company/thunderworks-limited,,thunderworks limited,lancashire,1-10,,GB
,0,vrp3d-digital-technology-co-ltd,computer games,linkedin.com/company/vrp3d-digital-technology-co-ltd,,vrp3d digital technology co. ltd,,1-10,,
australia,0,minicades-mobile,computer games,linkedin.com/company/minicades-mobile,melbourne,minicades mobile,victoria,1-10,minicadesmobile.com,AU
,0,eagle-creed,computer games,linkedin.com/company/eagle-creed,,eagle creed,,10001+,,
serbia,0,zengaming021ns,computer games,linkedin.com/company/zengaming021ns,novi sad,zengaming021ns,vojvodina,1-10,,RS
united states,0,glacier-lanes-restaurant,computer games,linkedin.com/company/glacier-lanes-restaurant,everett,glacier lanes restaurant,washington,1-10,glacierlanes.com,US
iran,0,worldgamifier,computer games,linkedin.com/company/worldgamifier,teheran,worldgamifier,tehran,51-200,worldgamifier.com,IR
,0,revelations-team,computer games,linkedin.com/company/revelations-team,,team revelations,,11-50,linktr.ee/revelationsgg,
united states,0,t-s-restaurant,computer games,linkedin.com/company/t-s-restaurant,lahaina,t s restaurant,hawaii,1-10,,US
,0,skatetool,computer games,linkedin.com/company/skatetool,,skatetool,,1-10,skatetool.live,
germany,0,the-pocket-dimension,computer games,linkedin.com/company/the-pocket-dimension,,the pocket dimension,,1-10,artstation.com/thepocketdimension,DE
cyprus,0,external-games,computer games,linkedin.com/company/external-games,lemesos,external games,limassol,11-50,externalgames.com,CY
,0,freelance-game-music-composer---producer,computer games,linkedin.com/company/freelance-game-music-composer---producer,,freelance game music composer - producer,,1-10,freshdynamics.nl,
,0,starly-esport,computer games,linkedin.com/company/starly-esport,,starly esport,,1-10,,
,0,craftathon,computer games,linkedin.com/company/craftathon,,craftathon,,11-50,craftathon.org,
france,0,eralion-gaming,computer games,linkedin.com/company/eralion-gaming,boulogne-billancourt,eralion games,ile-de-france,1-10,,FR
france,0,ineoco,computer games,linkedin.com/company/ineoco,paris,ineoco,ile-de-france,1-10,ineoco.com,FR
france,0,bms-esports,computer games,linkedin.com/company/bms-esports,paris,bms esports,ile-de-france,11-50,twitter.com/bms_crew,FR
,0,vindact,computer games,linkedin.com/company/vindact,,vindact,,1-10,vindact.com,
united arab emirates,0,vertex-studios,computer games,linkedin.com/company/vertex-studios,,vertex studios,,11-50,vertexstudios.ae,AE
turkey,0,zidios,computer games,linkedin.com/company/zidios,,zidios,i̇zmir,1-10,,TR
,0,anly-games,computer games,linkedin.com/company/anly-games,,anly games,,1-10,apple.com/au/app/anly/id1632600907,
,0,manitaapp,computer games,linkedin.com/company/manitaapp,,manita,,1-10,,
canada,0,disco,computer games,linkedin.com/company/disco,,disco,british columbia,1-10,andymoore.ca,CA
united kingdom,0,hotgen,computer games,linkedin.com/company/hotgen,london,hotgen ltd,greater london,11-50,hotgen.com,GB
,0,welfish-studio,computer games,linkedin.com/company/welfish-studio,,welfish studio,,1-10,welfish.net,
united kingdom,0,pj-and-sons-construction-ltd,computer games,linkedin.com/company/pj-and-sons-construction-ltd,chessington,pj and sons construction ltd,greater london,1-10,,GB
,0,tamed-raptor-limited,computer games,linkedin.com/company/tamed-raptor-limited,,tamed raptor limited,,1-10,tamedraptor.com,
,0,the-falcon-spade,computer games,linkedin.com/company/the-falcon-spade,,falcon game studio,,1-10,,
turkey,0,artuex-games,computer games,linkedin.com/company/artuex-games,,artuex games,istanbul,1-10,artuexgames.com,TR
germany,0,goosegirlgames,computer games,linkedin.com/company/goosegirlgames,weimar,goosegirlgames,thuringia,1-10,github.com/goosegirlgames,DE
netherlands,0,chaser-app,computer games,linkedin.com/company/chaser-app,amsterdam,chaser app,noord-holland,1-10,,NL
brazil,0,instant-games,computer games,linkedin.com/company/instant-games,,instant games,,1-10,instantgames.com.br,BR
united states,0,beyourselfgames,computer games,linkedin.com/company/beyourselfgames,,be yourself games,california,11-50,beyourselfgames.com,US
,0,shin'en-multimedia-gmbh,computer games,linkedin.com/company/shin'en-multimedia-gmbh,,shin'en multimedia gmbh,,1-10,shinen.de,
spain,0,accessibility-warriors,computer games,linkedin.com/company/accessibility-warriors,santa pola,accessibility warriors,valencia,1-10,accessibilitywarriors.com,ES
,0,yoishogames,computer games,linkedin.com/company/yoishogames,,yoisho games,,1-10,,
turkey,0,loop-games,computer games,linkedin.com/company/loop-games,çankaya,loop games,ankara,1-10,loopgames.net,TR
united states,0,allys-boutique,computer games,linkedin.com/company/allys-boutique,jasper,allys boutique,alabama,1-10,allysboutique2008.blogspot.in,US
argentina,0,game-autopsy,computer games,linkedin.com/company/game-autopsy,,game autopsy,buenos aires,1-10,gameautopsy.com,AR
united kingdom,0,blue52,computer games,linkedin.com/company/blue52,cheltenham,blue52,gloucestershire,1-10,,GB
vietnam,0,epicwar,computer games,linkedin.com/company/epicwar,hanoi,epic war,ha noi,11-50,epicwar.io,VN
united states,0,berkshire-realty-group,computer games,linkedin.com/company/berkshire-realty-group,cairo,berkshire realty group,new york,1-10,,US
,0,fox-games-llc,computer games,linkedin.com/company/fox-games-llc,,fox games llc,,1-10,,
,0,kridana,computer games,linkedin.com/company/kridana,,kridana foundation,,1-10,kridana.org,
,0,coffee-stain-göteborg,computer games,linkedin.com/company/coffee-stain-göteborg,,coffee stain göteborg,,1-10,,
united kingdom,0,edmonton-machines-limited,computer games,linkedin.com/company/edmonton-machines-limited,,edmonton machines limited,essex,1-10,,GB
,0,techpop1,computer games,linkedin.com/company/techpop1,,tech-pop,,1-10,,
united states,0,spartan-setups,computer games,linkedin.com/company/spartan-setups,san jose,spartan setups,california,1-10,,US
turkey,0,deep-range-studio,computer games,linkedin.com/company/deep-range-studio,,deep range studio,istanbul,1-10,,TR
,0,head-to-head-studio,computer games,linkedin.com/company/head-to-head-studio,,head to head studio,,1-10,headtohead-studio.com,
,0,hit-run-games,computer games,linkedin.com/company/hit-run-games,,hit&run games,,1-10,,
sweden,0,jadestone,computer games,linkedin.com/company/jadestone,,jadestone,saintckholm,51-200,jadestone.se,SE
,0,netherly-studios-media,computer games,linkedin.com/company/netherly-studios-media,,netherly studios media,,11-50,,
canada,0,shannonware-game-lab,computer games,linkedin.com/company/shannonware-game-lab,,shannonware game lab,ontario,1-10,gamelab.ca,CA
poland,0,oxy-sa,computer games,linkedin.com/company/oxy-sa,wroclaw,oxygen sa,dolnoslaskie,11-50,oxygen.com.pl,PL
turkey,0,neutron-games,computer games,linkedin.com/company/neutron-games,urla,neutron games,izmir,1-10,,TR
,0,wogl,computer games,linkedin.com/company/wogl,,wogl,,1-10,wogl.org,
,0,igamer-jam,computer games,linkedin.com/company/igamer-jam,,igamer jam,,1-10,igamerjam.com,
,0,北京蓝溪科技有限公司,computer games,linkedin.com/company/北京蓝溪科技有限公司,,北京蓝溪科技有限公司,,11-50,,
united states,0,digital-prunes,computer games,linkedin.com/company/digital-prunes,,digital prunes,california,1-10,,US
,0,www.diaz-vito.co.nz,computer games,linkedin.com/company/www.diaz-vito.co.nz,,www.diaz-vito.co.nz,,1-10,diaz-vito.co.nz,
united kingdom,0,turks-head,computer games,linkedin.com/company/turks-head,,turks head,saint helens,1-10,,GB
united states,0,superscape,computer games,linkedin.com/company/superscape,,superscape,,51-200,superscape.com,US
bangladesh,0,gamers-shop,computer games,linkedin.com/company/gamers-shop,,gamers shop,sylhet,11-50,,BD
,0,ultimate-party-game,computer games,linkedin.com/company/ultimate-party-game,,ultimate-party-game,,1-10,ultimate-party-game.com,
palestine,0,serenbit-studio,computer games,linkedin.com/company/serenbit-studio,rahm alla,serenbit studio,west bank,1-10,serenbit.ps,PS
,0,rayolaserperu,computer games,linkedin.com/company/rayolaserperu,,rayolaser,,1-10,rayolaser.pe,
portugal,0,icy-roleplay,computer games,linkedin.com/company/icy-roleplay,,icy roleplay,coimbra,1-10,,PT
sri lanka,0,ramstudiossl,computer games,linkedin.com/company/ramstudiossl,colombo,ram studios,western,1-10,ramstudios.io,LK
,0,silverline-arts,computer games,linkedin.com/company/silverline-arts,,silverline arts,,1-10,silverlinearts.com,
,0,secretbuilders,computer games,linkedin.com/company/secretbuilders,,secretbuilders,,1-10,secretbuilders.com,
,0,grajmerki,computer games,linkedin.com/company/grajmerki,,grajmerki,,11-50,grajmerki.pl,
switzerland,0,funner-labs,computer games,linkedin.com/company/funner-labs,rheinfelden,funner labs,aargau,1-10,funnerlabs.com,CH
,0,sargarmidan,computer games,linkedin.com/company/sargarmidan,,sargarmidan,,11-50,sargarmidan.com,
united states,0,random-logic-games,computer games,linkedin.com/company/random-logic-games,birmingham,random logic games,alabama,1-10,randomlogicgames.com,US
,0,battlefly-game,computer games,linkedin.com/company/battlefly-game,,battlefly game,,51-200,battlefly.game,
united states,0,us-geological-survey,computer games,linkedin.com/company/us-geological-survey,washington,us geological survey,district of columbia,1-10,,US
united kingdom,0,game-pickle,computer games,linkedin.com/company/game-pickle,tyne and wear,gamepickle,gateshead,11-50,gamepicklestudios.com,GB
,0,dreamfact3,computer games,linkedin.com/company/dreamfact3,,dreamfact,,11-50,,
,0,北京奥兰世纪科技有限公司,computer games,linkedin.com/company/北京奥兰世纪科技有限公司,,北京奥兰世纪科技有限公司,,1-10,aolantec.com,
japan,0,infinityvector,computer games,linkedin.com/company/infinityvector,tokyo,infinity vector,tokyo,1-10,infinityvector.com,JP
,0,rio-preto-games,computer games,linkedin.com/company/rio-preto-games,,rio preto games,,1-10,riopretogames.com.br,
united states,0,cobra-online-games,computer games,linkedin.com/company/cobra-online-games,indianapolis,cobra online games,indiana,11-50,,US
germany,0,letsplay4charity-e-v,computer games,linkedin.com/company/letsplay4charity-e-v,berlin,letsplay4charity e. v.,berlin,1-10,letsplay4charity.com,DE
,0,captain-moustache,computer games,linkedin.com/company/captain-moustache,,captain moustache,,1-10,captainmoustache.com,
spain,0,formulanationalleague,computer games,linkedin.com/company/formulanationalleague,azuqueca de henares,formula national league - fnl,castille-la mancha,1-10,twitter.com/fnl_esports,ES
netherlands,0,rekenteam,computer games,linkedin.com/company/rekenteam,julianadorp,rekenteam,north holland,1-10,rekenteamshop.nl,NL
taiwan,0,wanin-international,computer games,linkedin.com/company/wanin-international,taichung,wanin international,t'ai-wan,51-200,,TW
,0,happy-cauldron-games,computer games,linkedin.com/company/happy-cauldron-games,,happy cauldron games,,1-10,,
,0,inseme-uk,computer games,linkedin.com/company/inseme-uk,,inseme,,11-50,inseme.co.uk,
estonia,0,qazus-com,computer games,linkedin.com/company/qazus-com,tallinn,qazus.com,harjumaa,11-50,qazus.com,EE
